Column1,msr_device_nbr,date_time,nbr_of_readings,pm_25,latitude,longitude
0,2135,7/18/2022 19:00,11,13.32909091,41.7028,-87.529
1,2135,7/18/2022 20:00,12,11.09833333,41.7028,-87.529
2,2135,7/18/2022 21:00,11,11.89181818,41.7028,-87.529
3,2135,7/18/2022 22:00,12,15.5975,41.7028,-87.529
4,2135,7/18/2022 23:00,12,15.97416667,41.7028,-87.529
5,2135,7/19/2022 0:00,11,15.34090909,41.7028,-87.529
6,2135,7/19/2022 1:00,12,24.13166667,41.7028,-87.529
7,2135,7/19/2022 2:00,11,27.03454545,41.7028,-87.529
8,2135,7/19/2022 3:00,12,28.31583333,41.7028,-87.529
9,2135,7/19/2022 4:00,12,28.41416667,41.7028,-87.529
10,2135,7/19/2022 5:00,7,27.53,41.7028,-87.529
11,2135,7/19/2022 6:00,12,26.82833333,41.7028,-87.529
12,2135,7/19/2022 7:00,11,26.96272727,41.7028,-87.529
13,2135,7/19/2022 8:00,12,15.51166667,41.7028,-87.529
14,2135,7/19/2022 9:00,12,12.52666667,41.7028,-87.529
15,2135,7/19/2022 10:00,11,10.87636364,41.7028,-87.529
16,2135,7/19/2022 11:00,12,10.07166667,41.7028,-87.529
17,2135,7/19/2022 12:00,12,11.42333333,41.7028,-87.529
18,2135,7/19/2022 13:00,11,10.65090909,41.7028,-87.529
19,2135,7/19/2022 14:00,12,9.793333333,41.7028,-87.529
20,2135,7/19/2022 15:00,11,9.647272727,41.7028,-87.529
21,2135,7/19/2022 16:00,12,10.5175,41.7028,-87.529
22,2135,7/19/2022 17:00,12,10.54333333,41.7028,-87.529
23,2135,7/19/2022 18:00,11,12.16909091,41.7028,-87.529
24,2135,7/19/2022 19:00,12,11.55583333,41.7028,-87.529
25,2135,7/19/2022 20:00,11,11.62727273,41.7028,-87.529
26,2135,7/19/2022 21:00,12,11.96583333,41.7028,-87.529
27,2135,7/19/2022 22:00,12,12.7675,41.7028,-87.529
28,2135,7/19/2022 23:00,11,11.43272727,41.7028,-87.529
29,2135,7/20/2022 0:00,12,14.03,41.7028,-87.529
30,2135,7/20/2022 1:00,11,21.67363636,41.7028,-87.529
31,2135,7/20/2022 2:00,12,22.86666667,41.7028,-87.529
32,2135,7/20/2022 3:00,8,24.06875,41.7028,-87.529
33,2135,7/20/2022 4:00,2,23.84,41.7028,-87.529
34,2135,7/20/2022 7:00,3,26.06333333,41.7028,-87.529
35,2135,7/20/2022 8:00,4,28.305,41.7028,-87.529
36,2135,7/20/2022 9:00,11,20.75,41.7028,-87.529
37,2135,7/20/2022 10:00,12,10.53916667,41.7028,-87.529
38,2135,7/20/2022 11:00,11,10.27727273,41.7028,-87.529
39,2135,7/20/2022 12:00,12,9.6325,41.7028,-87.529
40,2135,7/20/2022 13:00,12,10.99833333,41.7028,-87.529
41,2135,7/20/2022 14:00,11,12.65636364,41.7028,-87.529
42,2135,7/20/2022 15:00,12,11.96583333,41.7028,-87.529
43,2135,7/20/2022 16:00,11,15.23181818,41.7028,-87.529
44,2135,7/20/2022 17:00,12,14.14583333,41.7028,-87.529
45,2135,7/20/2022 18:00,12,15.03333333,41.7028,-87.529
46,2135,7/20/2022 19:00,11,18.60363636,41.7028,-87.529
47,2135,7/20/2022 20:00,12,27.10416667,41.7028,-87.529
48,2135,7/20/2022 21:00,6,28.02333333,41.7028,-87.529
49,2135,7/20/2022 22:00,1,27.62,41.7028,-87.529
50,2135,7/20/2022 23:00,6,27.86666667,41.7028,-87.529
51,2135,7/21/2022 0:00,5,27.572,41.7028,-87.529
52,2135,7/21/2022 1:00,2,27.47,41.7028,-87.529
53,2135,7/21/2022 2:00,8,26.89125,41.7028,-87.529
54,2135,7/21/2022 4:00,1,27.52,41.7028,-87.529
55,2135,7/21/2022 7:00,3,28.10666667,41.7028,-87.529
56,2135,7/21/2022 8:00,9,26.90666667,41.7028,-87.529
57,2135,7/21/2022 9:00,12,20.1575,41.7028,-87.529
58,2135,7/21/2022 10:00,11,16.04272727,41.7028,-87.529
59,2135,7/21/2022 11:00,12,13.04416667,41.7028,-87.529
60,2135,7/21/2022 12:00,11,14.53090909,41.7028,-87.529
61,2135,7/21/2022 13:00,12,10.22583333,41.7028,-87.529
62,2135,7/21/2022 14:00,12,9.534166667,41.7028,-87.529
63,2135,7/21/2022 15:00,11,9.873636364,41.7028,-87.529
64,2135,7/21/2022 16:00,12,11.3425,41.7028,-87.529
65,2135,7/21/2022 17:00,11,15.93090909,41.7028,-87.529
66,2135,7/21/2022 18:00,12,12.1975,41.7028,-87.529
67,2135,7/21/2022 19:00,12,13.08583333,41.7028,-87.529
68,2135,7/21/2022 20:00,11,21.38454545,41.7028,-87.529
69,2135,7/21/2022 21:00,12,25.585,41.7028,-87.529
70,2135,7/21/2022 22:00,11,27.88,41.7028,-87.529
71,2135,7/21/2022 23:00,2,27.435,41.7028,-87.529
72,2135,7/22/2022 1:00,1,25.13,41.7028,-87.529
73,2135,7/22/2022 2:00,12,25.68166667,41.7028,-87.529
74,2135,7/22/2022 3:00,5,25.2,41.7028,-87.529
75,2135,7/22/2022 7:00,4,27.1175,41.7028,-87.529
76,2135,7/22/2022 8:00,12,18.50833333,41.7028,-87.529
