device_friendly_name,latitude,longitude
100th & Torrence (WB),41.7136,-87.5602
115th & Stewart (EB),41.6851780288672,-87.6326300484201
26th & Central Park (WB),41.8444931803924,-87.7145550256727
26th & Keeler (EB),41.844104,-87.729633
26th ST & Kostner (WB),41.84419,-87.7347
26th ST & Pulaski (WB),41.8442,-87.7248
39th & Damen (WB),41.8231,-87.6753
39TH & HALSTED (WB),41.8237158402231,-87.6463462493363
47th & Halsted (WB),41.8088,-87.6481
63rd & Damen (WB),41.7793,-87.6741
63rd & Lamon (EB),41.7782,-87.7438
63rd & Peoria (EB),41.7795,-87.6472
63rd & Pulaski (EB),41.7785,-87.7214
69th St & Bell Ave (EB),41.7683,-87.6794
95th & Wentworth (WB),41.7218,-87.6287
Addison & Kennedy XWay (EB),41.946406,-87.717897
Archer & Lavergne/LeClair (NEB),41.797916,-87.747366
ARCHER & THROOP (SB),41.8433921159604,-87.6545815311069
Ashland & 37th (SB),41.8267,-87.6655
Ashland & 43rd St (SB),41.816041,-87.665311
Ashland & Belmont/Lincoln (NB),41.939311,-87.668496
Ashland & Pershing (SB),41.823588,-87.665245
Ave O & 114th (NB),41.688054,-87.539967
Belmont & Sheridan (WB),41.94,-87.6402
Belmont & Western (WB),41.939568,-87.688703
California & 26th (SB),41.8451,-87.695204
California & Cermak (NB),41.8523,-87.6954
California & Cermak (SB),41.8524,-87.6952
California & Devon (SB),41.99772,-87.69975
Central & Madison (NB),41.8803,-87.7647
Central & Prescott (SB),41.9924,-87.7654
Cermak & Ashland (WB),41.852038,-87.666366
Chicago & Hudson (WB),41.896633,-87.639691
Chicago & Sacramento (EB),41.8954,-87.7022
Cicero & Hubbard (NB),41.8879,-87.7455
Clarendon & Montrose (SB),41.961992,-87.649994
Clark & 15th (NB),41.861773,-87.630143
Commercial & 85 (NB),41.7414,-87.5513
Commercial & 89th (SB),41.733871,-87.551448
Cottage & 53rd (NB),41.7985,-87.6062
Cottage Grove & 100th (NB),41.7132,-87.605
Cottage Grove & 60th (SB),41.7859489556255,-87.6061602659778
Cottage Grove & 83rd (SB),41.7438,-87.6052
Cottage Grove & Pershing (SB),41.824096,-87.607116
Damen & Webster (SB),41.921581,-87.6779
Division & Larrabee (EB),41.903627,-87.643443
EPA Springfield Pump Station C,41.912741,-87.722675
EPA Springfield Pump Station E,41.912739,-87.722673
EPA Village Garage B,41.670993,-87.732458
EPA Village Garage C,41.670994,-87.732459
EPA Village Garage D,41.670992,-87.732457
Fullerton & Pulaski (WB),41.924611,-87.726561
Grand & Laramie (EB),41.9169,-87.756
Halsted & 74th St (SB),41.759507,-87.644385
Halsted & 87th (SB),41.7359,-87.6437
Harrison & Central (WB),41.87288,-87.764879
Irving & Clark (EB),41.954291,-87.662438
Irving Park & Kildare (EB),41.9533,-87.7354
Jackson & Wabash (EB),41.87836775,-87.62542392
Kedzie & 24th (SB),41.8488,-87.7052
Kedzie & 53rd (SB),41.7968,-87.7038
Kedzie & Lake (NB),41.8838,-87.706
Kimball & Ardmore (SB),41.9861,-87.7139
Lake Shore & Briar (SB),41.93892,-87.63806
Laramie & Lake (NB),41.8867,-87.7551
Laramie & Madison (SB),41.880092,-87.754947
Lincoln & California (NWB),41.98592,-87.699628
Madison & Loomis (WB),41.881625,-87.66205
Nargansett & Montrose (SB),41.9592,-87.7868
Northwest Highway & Devon (NWB),41.997534,-87.807554
Peterson & Wolcott (EB),41.990623,-87.677257
"Polk & L ""Above"" (WB)",41.871645,-87.66986
Pulaski & 49th (SB),41.8049,-87.7236
Roosevelt & Homan (WB),41.866448,-87.710325
Roosevelt & Western (WB),41.866741,-87.685757
Sheridan & Hollywood (SB),41.985095,-87.655334
Sheridan & Irving Park (NB),41.95479,-87.65447
South Shore & 77th (NB),41.7577,-87.554
State & 31st St (NB),41.838137,-87.626522
State & 83rd (NB),41.7435,-87.6242
State & Garfield (NB),41.7955,-87.6255
State & Garfield (SB),41.794921,-87.625857
Vincennes & 75th (NB),41.75841,-87.63108
Western & 26th ST (SB),41.8454,-87.6854
Western & 41st (SB),41.8193557705799,-87.6846147423426
Western & 73rd (NB),41.7609,-87.6827
Western Ave & 43rd St (SB),41.815867,-87.684764
