"Parameter Code","Parameter","Parameter Abbreviation","Parameter Alternate Name","CAS Number","Standard Units","Still Valid","Round or Truncate"
"43834","1,1,1,2,2-Pentafluoroethane",,"HFC-125","354-33-6","Parts per billion Carbon","YES",R
"43837","1,1,1,2-Tetrachloroethane",,,"630-20-6","Parts per billion Carbon","YES",R
"43162","1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane","TRICH",,"50-29-3","Nanograms/cubic meter (25 C)","YES",R
"43818","1,1,2,2-Tetrachloroethane","4CLET","Ethane,1,1,2,2-tetrachloro-","79-34-5","Parts per billion Carbon","YES",R
"43821","1,1,2-Trichloro-1,2,2-trifluoroethane",,,"76-13-1","Parts per billion Carbon","YES",R
"43820","1,1,2-Trichloroethane","TCA1","Ethane,1,1,2-trichloro-","79-00-5","Parts per billion Carbon","YES",R
"17809","1,1-Biphenyl, chloro (TSP) STP","PCB1",,"27323-18-8","Pg/cubic meter(25 C)","YES",R
"43134","1,1-Bis(4-chlorophenyl)-2,2-dichloroethane","CHL-D",,"72-54-8","Nanograms/cubic meter (25 C)","YES",R
"43813","1,1-Dichloroethane","DCETH","ELLRYLIDENE DICHLORIDE","75-34-3","Parts per billion Carbon","YES",R
"43166","1,1-Dichloroethenylidene bis(4-chlorobenzene)","1","1DI","72-55-9","Nanograms/cubic meter (25 C)","YES",R
"43826","1,1-Dichloroethylene","2CLET","Ethene,1,1-dichloro-","75-35-4","Parts per billion Carbon","YES",R
"43854","1,1-Difluoroethane",,"HFC-152a","75-37-6","Parts per billion Carbon","YES",R
"43139","1,2,3,4,5,6- Hexachlolocyclohexane, .beta.-","HEXBE",,"319-85-7","Nanograms/cubic meter (25 C)","YES",R
"43138","1,2,3,4,5,6- Hexachlorocyclohexane","HEXCH",,"319-84-6","Nanograms/cubic meter (25 C)","YES",R
"43140","1,2,3,4,5,6- Hexachlorocyclohexane, .delta.-","HEXDE",,"319-86-8","Nanograms/cubic meter (25 C)","YES",R
"16931","1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",,,"3268-87-9","Pg/cubic meter(25 C)","NO",
"16928","1,2,3,4,6,7,8,9-Octachlorodibenzofuran",,,"39001-02-0","Pg/cubic meter(25 C)","NO",
"16919","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin (TSP) STP","HpCDD",,"35822-46-9","Pg/cubic meter(25 C)","YES",R
"16926","1,2,3,4,6,7,8-Heptachlorodibenzofuran (TSP) STP","HPCDF","1,2,3,4,6,7,8-HPCDF","67562-39-4","Pg/cubic meter(25 C)","YES",R
"16927","1,2,3,4,7,8,9-Heptachlorodibenzofuran (TSP) STP","5HCDF",,"55673-89-7","Pg/cubic meter(25 C)","YES",R
"16930","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",,,"39227-28-6","Pg/cubic meter(25 C)","NO",
"16922","1,2,3,4,7,8-Hexachlorodibenzofuran (TSP) STP","HXCDF","1,2,3,4,7,8-HXCDF","70648-26-9","Pg/cubic meter(25 C)","YES",R
"16917","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (TSP) STP","HxCDD",,"57653-85-7","Pg/cubic meter(25 C)","YES",R
"16923","1,2,3,6,7,8-Hexachlorodibenzofuran (TSP) STP","2HCDF","1,2,3,6,7,8-HXCDF","57117-44-9","Pg/cubic meter(25 C)","YES",R
"16918","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (TSP) STP","HxCDD",,"19408-74-3","Pg/cubic meter(25 C)","YES",R
"16925","1,2,3,7,8,9-Hexachlorodibenzofuran (TSP) STP","4HCDF","1,2,3,7,8,9-HXCDF","72918-21-9","Pg/cubic meter(25 C)","YES",R
"16929","1,2,3,7,8-Pentachlorodibenzo-p-dioxin",,,"40321-76-4","Pg/cubic meter(25 C)","NO",
"16920","1,2,3,7,8-Pentachlorodibenzofuran (TSP) STP","PECDF","1,2,3,7,8-PECDF","57117-41-6","Pg/cubic meter(25 C)","YES",R
"43604","1,2,3-Trichloropropane",,,"96-18-4","Parts per billion Carbon","YES",
"45225","1,2,3-Trimethylbenzene","123TB",,"526-73-8","Parts per billion Carbon","YES",R
"16724","1,2,4,5-Tetrachlorobenzene (TSP) STP",,,"95-94-3","Nanograms/cubic meter (25 C)","YES",R
"45231","1,2,4,5-Tetramethylbenzene",,,"95-93-2","Parts per billion Carbon","YES",R
"45810","1,2,4-Trichlorobenzene","TCBZ","Benzene, 1,2,4-trichloro-","120-82-1","Parts per billion Carbon","YES",R
"16725","1,2,4-Trichlorobenzene (TSP) STP",,,"120-82-1","Nanograms/cubic meter (25 C)","YES",R
"45208","1,2,4-Trimethylbenzene","124TB","Benzene,1,2,4-trimethyl-","95-63-6","Parts per billion Carbon","YES",R
"43364","1,2,4-Trimethylbenzene & .beta.-pinene",,,,"Parts per billion Carbon","YES",R
"43363","1,2,4-Trimethylbenzene & sec-butylbenzene","TM&BB",,,"Parts per billion Carbon","YES",R
"43223","1,2-Butadiene",,,"590-19-2","Parts per billion Carbon","YES",R
"45805","1,2-Dichlorobenzene",,"Benzene,1,2-dichloro-","95-50-1","Parts per billion Carbon","YES",R
"16726","1,2-Dichlorobenzene (TSP) STP  ",,,"95-50-1","Nanograms/cubic meter (25 C)","YES",R
"43840","1,2-Dichloroethene(total)",,,"540-59-0","Parts per billion Carbon","YES",R
"43829","1,2-Dichloropropane","2CLPR","Propane,1,2-dichloro-","78-87-5","Parts per billion Carbon","YES",R
