"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"17","031","0022","81102","4","41.6871654376343","-87.5393154841479","WGS84","PM10 Total 0-10um STP","1 HOUR","","2022","Micrograms/cubic meter (25 C)","No Events","5638","64",".",".","231","365","0","Certification not required","914","0","","31.186414","17.197396",".","-1","","","229","2022-05-13 10:00","189","2022-04-14 15:00","183","2022-09-08 07:00","169","2022-09-07 21:00","27","37","51","64","79","94","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","88101","1","41.6871654376343","-87.5393154841479","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2022","Micrograms/cubic meter (LC)","No Events","78","64",".",".","78","122","0","Certification not required","5","0","","8.353846","4.135017","8.3987684729064","2","","","23.1","2022-05-11 00:00","20.7","2022-04-05 00:00","18.3","2022-02-01 00:00","15.4","2022-02-07 00:00","7.7","10.4","13.5","15.4","20.7","23.1","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","88101","1","41.6871654376343","-87.5393154841479","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2022","Micrograms/cubic meter (LC)","No Events","78","64","0","0","78","122","0","Certification not required","5","0","","8.353846","4.135017","8.3987684729064","2","","","23.1","2022-05-11 00:00","20.7","2022-04-05 00:00","18.3","2022-02-01 00:00","15.4","2022-02-07 00:00","7.7","10.4","13.5","15.4","20.7","23.1","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","11101","2","41.6871654376343","-87.5393154841479","WGS84","Suspended particulate (TSP)","24 HOUR","","2022","Micrograms/cubic meter (25 C)","No Events","22","36",".",".","22","61","0","Certification not required","6","0","","41.272727","35.680036",".","9","","","154","2022-01-12 00:00","110","2022-05-11 00:00","75","2022-04-11 00:00","65","2022-02-28 00:00","29","58","75","110","154","154","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","14110","2","41.6871654376343","-87.5393154841479","WGS84","Cadmium (TSP) LC","24 HOUR","","2022","Micrograms/cubic meter (LC)","No Events","22","36",".",".","22","61","0","Certification not required","6","0","","0.000189","0.000494",".","0","","","0.00167","2022-01-05 00:00","0.00139","2022-02-28 00:00","0.00109","2022-01-12 00:00","0","2022-01-17 00:00","0","0","0.00109","0.00139","0.00167","0.00167","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","14112","2","41.6871654376343","-87.5393154841479","WGS84","Chromium (TSP) LC","24 HOUR","","2022","Micrograms/cubic meter (LC)","No Events","22","36",".",".","22","61","0","Certification not required","6","0","","0.005285","0.003436",".","0.00193","","","0.0135","2022-02-28 00:00","0.01281","2022-04-11 00:00","0.01199","2022-01-12 00:00","0.00758","2022-05-11 00:00","0.0046","0.00623","0.01199","0.01281","0.0135","0.0135","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","14132","2","41.6871654376343","-87.5393154841479","WGS84","Manganese (TSP) LC","24 HOUR","","2022","Micrograms/cubic meter (LC)","No Events","22","36",".",".","22","61","0","Certification not required","6","0","","0.056095","0.033515",".","0.00606","","","0.12555","2022-04-05 00:00","0.10524","2022-05-11 00:00","0.09532","2022-04-11 00:00","0.09323","2022-01-12 00:00","0.04794","0.08632","0.09532","0.10524","0.12555","0.12555","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","14136","2","41.6871654376343","-87.5393154841479","WGS84","Nickel (TSP) LC","24 HOUR","","2022","Micrograms/cubic meter (LC)","No Events","22","36",".",".","22","61","0","Certification not required","6","0","","0.003022","0.00268",".","0","","","0.01135","2022-01-12 00:00","0.00827","2022-04-17 00:00","0.00752","2022-04-11 00:00","0.00383","2022-01-05 00:00","0.00232","0.00348","0.00752","0.00827","0.01135","0.01135","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","14129","2","41.6871654376343","-87.5393154841479","WGS84","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2022","Micrograms/cubic meter (LC)","No Events","22","36","0","0","22","61","0","Certification not required","6","0","","0.009591","0.013201",".","0","","","0.059","2022-02-28 00:00","0.031","2022-01-12 00:00","0.019","2022-04-11 00:00","0.016","2022-04-17 00:00","0.005","0.011","0.019","0.031","0.059","0.059","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","0022","81102","4","41.6871654376343","-87.5393154841479","WGS84","PM10 Total 0-10um STP","24-HR BLK AVG","PM10 24-hour 2006","2022","Micrograms/cubic meter (25 C)","No Events","231","63","0","0","231","365","0","Certification not required","0","0","","30.835498","11.190786","30.8354978354978","14","","","89","2022-06-15 00:00","66","2022-06-21 00:00","60","2022-04-14 00:00","59","2022-06-16 00:00","28","38","46","54","59","60","1","","Illinois","Cook","Chicago","WASHINGTON HS","3535 E. 114TH ST.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
