device_friendly_name,date_time,nbr_of_readings,pm_25,latitude,longitude
100th & Torrence (WB),2022-07-01,279,10.6884627525253,41.7136,-87.5602
100th & Torrence (WB),2022-07-02,279,12.1860827020202,41.7136,-87.5602
100th & Torrence (WB),2022-07-03,278,12.7171622474748,41.7136,-87.5602
100th & Torrence (WB),2022-07-04,279,14.4576862373737,41.7136,-87.5602
100th & Torrence (WB),2022-07-05,278,11.2996306818182,41.7136,-87.5602
100th & Torrence (WB),2022-07-06,279,10.411764520202,41.7136,-87.5602
100th & Torrence (WB),2022-07-07,278,12.7288131313131,41.7136,-87.5602
100th & Torrence (WB),2022-07-08,279,12.4366224747475,41.7136,-87.5602
100th & Torrence (WB),2022-07-09,252,8.13894398530762,41.7136,-87.5602
100th & Torrence (WB),2022-07-10,280,9.58404671717172,41.7136,-87.5602
100th & Torrence (WB),2022-07-11,265,9.61079841897233,41.7136,-87.5602
100th & Torrence (WB),2022-07-12,280,9.323091006216,41.7136,-87.5602
100th & Torrence (WB),2022-07-13,278,10.2618308080808,41.7136,-87.5602
100th & Torrence (WB),2022-07-14,278,10.6291414141414,41.7136,-87.5602
100th & Torrence (WB),2022-07-15,279,11.9488952020202,41.7136,-87.5602
100th & Torrence (WB),2022-07-16,280,10.4989551767677,41.7136,-87.5602
100th & Torrence (WB),2022-07-17,279,12.4834627525253,41.7136,-87.5602
100th & Torrence (WB),2022-07-18,279,9.95536931818182,41.7136,-87.5602
100th & Torrence (WB),2022-07-19,278,13.2561268939394,41.7136,-87.5602
100th & Torrence (WB),2022-07-20,279,14.0729671717172,41.7136,-87.5602
100th & Torrence (WB),2022-07-21,278,14.2872032828283,41.7136,-87.5602
100th & Torrence (WB),2022-07-22,277,8.59371887140637,41.7136,-87.5602
100th & Torrence (WB),2022-07-23,278,9.20037247474748,41.7136,-87.5602
100th & Torrence (WB),2022-07-24,278,10.6973926767677,41.7136,-87.5602
100th & Torrence (WB),2022-07-25,280,8.16093385780886,41.7136,-87.5602
100th & Torrence (WB),2022-07-26,279,9.14795138888889,41.7136,-87.5602
100th & Torrence (WB),2022-07-27,264,10.6019191919192,41.7136,-87.5602
100th & Torrence (WB),2022-07-28,279,9.71171717171717,41.7136,-87.5602
100th & Torrence (WB),2022-07-29,278,8.98463952020202,41.7136,-87.5602
100th & Torrence (WB),2022-07-30,278,10.4074589646465,41.7136,-87.5602
111th & Ellis (WB),2022-07-01,279,12.0221338383838,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-02,257,15.8181232782369,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-03,278,14.994476010101,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-04,279,15.5482859848485,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-05,279,12.2330303030303,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-06,266,9.68913570487484,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-07,279,12.7360700757576,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-08,255,11.8404203221021,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-09,243,7.52911183261183,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-10,278,9.64116161616162,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-11,256,10.1301893939394,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-12,281,9.36475063131313,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-13,278,9.34486679292929,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-14,280,9.56072601010101,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-15,279,13.4023887917638,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-16,279,10.6143497474747,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-17,281,13.0178309537685,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-18,279,14.0849827602953,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-19,279,15.0964172979798,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-20,279,15.5617455808081,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-21,278,16.2743529040404,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-22,279,10.5767297979798,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-23,279,10.943345959596,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-24,278,11.2080808080808,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-25,279,8.37824810606061,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-26,281,10.9902005633256,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-27,265,12.7158833992095,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-28,280,10.5702904040404,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-29,279,9.59934343434343,41.6930461536733,-87.6043660088181
111th & Ellis (WB),2022-07-30,278,10.8330871212121,41.6930461536733,-87.6043660088181
115th & Stewart (EB),2022-07-01,279,11.1246938131313,41.6851780288672,-87.6326300484201
115th & Stewart (EB),2022-07-02,279,14.4592803030303,41.6851780288672,-87.6326300484201
115th & Stewart (EB),2022-07-03,278,13.2480997474747,41.6851780288672,-87.6326300484201
115th & Stewart (EB),2022-07-04,279,15.8424684343434,41.6851780288672,-87.6326300484201
115th & Stewart (EB),2022-07-05,278,11.0985763888889,41.6851780288672,-87.6326300484201
