device_friendly_name,date_time,nbr_of_readings,pm_25,latitude,longitude
100th & Torrence (WB),2022-10-30,279,13.60627840909091,41.7136,-87.5602
100th & Torrence (WB),2022-10-31,279,17.467282196969695,41.7136,-87.5602
100th & Torrence (WB),2022-11-01,279,15.478866792929294,41.7136,-87.5602
100th & Torrence (WB),2022-11-02,278,14.273800505050504,41.7136,-87.5602
100th & Torrence (WB),2022-11-03,278,12.099075126262626,41.7136,-87.5602
100th & Torrence (WB),2022-11-04,279,12.62748106060606,41.7136,-87.5602
100th & Torrence (WB),2022-11-05,280,9.442102515540016,41.7136,-87.5602
100th & Torrence (WB),2022-11-06,291,7.674343814398163,41.7136,-87.5602
100th & Torrence (WB),2022-11-07,264,8.019266578831797,41.7136,-87.5602
100th & Torrence (WB),2022-11-08,279,8.992234848484848,41.7136,-87.5602
100th & Torrence (WB),2022-11-09,278,9.822373737373738,41.7136,-87.5602
100th & Torrence (WB),2022-11-10,279,9.45111111111111,41.7136,-87.5602
100th & Torrence (WB),2022-11-11,277,7.49824494949495,41.7136,-87.5602
100th & Torrence (WB),2022-11-12,283,7.358372230203742,41.7136,-87.5602
100th & Torrence (WB),2022-11-13,277,8.26472159090909,41.7136,-87.5602
100th & Torrence (WB),2022-11-14,278,10.941208964646464,41.7136,-87.5602
100th & Torrence (WB),2022-11-15,275,13.899184343434344,41.7136,-87.5602
100th & Torrence (WB),2022-11-16,279,9.81559659090909,41.7136,-87.5602
100th & Torrence (WB),2022-11-17,278,10.457578914141415,41.7136,-87.5602
100th & Torrence (WB),2022-11-18,279,7.42439393939394,41.7136,-87.5602
100th & Torrence (WB),2022-11-19,278,7.021496212121211,41.7136,-87.5602
100th & Torrence (WB),2022-11-20,277,6.650334595959596,41.7136,-87.5602
100th & Torrence (WB),2022-11-21,279,11.411265782828282,41.7136,-87.5602
100th & Torrence (WB),2022-11-22,279,15.980606060606062,41.7136,-87.5602
100th & Torrence (WB),2022-11-23,278,12.910549242424244,41.7136,-87.5602
100th & Torrence (WB),2022-11-24,279,13.405883838383838,41.7136,-87.5602
100th & Torrence (WB),2022-11-25,279,11.952430555555557,41.7136,-87.5602
100th & Torrence (WB),2022-11-26,279,10.371890782828283,41.7136,-87.5602
106th & Ave D (WB),2022-11-17,279,16.108172348484846,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-18,278,10.56318181818182,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-19,279,9.155552398989899,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-20,279,8.810075757575758,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-21,278,13.736101641414143,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-22,279,20.48853535353535,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-23,279,19.61628787878788,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-24,279,18.70795138888889,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-25,279,16.922367424242424,41.70277166,-87.52829283
106th & Ave D (WB),2022-11-26,279,14.372392676767676,41.70277166,-87.52829283
115th & Stewart (EB),2022-10-30,265,14.82265920070268,41.68517802886724,-87.63263004842011
115th & Stewart (EB),2022-10-31,279,15.100359848484848,41.68517802886724,-87.63263004842011
115th & Stewart (EB),2022-11-01,279,15.82613952020202,41.68517802886724,-87.63263004842011
