msr_device_nbr,date_time,pm_25,device_friendly_name,latitude,longitude,misc_annotation
2004,2022-11-20,6.560555555555556,California & 26th (SB),41.8451,-87.6952,Community Selected
2006,2022-11-20,7.212932449494949,California & Cermak (NB),41.8523,-87.6954,Community Selected
2010,2022-11-20,6.814813762626263,EPA Springfield Pump Station C,41.91274,-87.72267,EPA Co-Location
2012,2022-11-20,6.5243592171717175,Chicago & Sacramento (EB),41.8954,-87.7022,Partner Request
2013,2022-11-20,6.433816287878788,EPA Village Garage B,41.67099,-87.73246,EPA Co-Location
2014,2022-11-20,6.673207070707071,EPA Village Garage C,41.67099,-87.73246,EPA Co-Location
2020,2022-11-20,9.01488446969697,Halsted & 111th (SB),41.69245,-87.6425,Stratified Random Sample
2024,2022-11-20,8.810075757575758,106th & Ave D (WB),41.70277,-87.52829,Stratified Random Sample
2033,2022-11-20,7.417260101010101,Halsted & 74th St (SB),41.75951,-87.64438,Stratified Random Sample
2037,2022-11-20,6.804583333333333,39TH & HALSTED (WB),41.82372,-87.64635,Community Selected
2038,2022-11-20,7.159176136363636,ARCHER & THROOP (SB),41.84339,-87.65458,Community Selected
2040,2022-11-20,6.772989267676768,Madison & Wood (WB),41.88147,-87.67219,Stratified Random Sample
2042,2022-11-20,7.159649621212122,26th ST & Pulaski (WB),41.8442,-87.7248,Community Selected
2043,2022-11-20,8.019315025252526,Roosevelt & Homan (WB),41.86645,-87.71032,Stratified Random Sample
2046,2022-11-20,6.817834595959596,Northwest Highway & Devon (NWB),41.99753,-87.80755,Stratified Random Sample
2047,2022-11-20,17.525299873737374,Pulaski & 49th (SB),41.8049,-87.7236,Stratified Random Sample
2048,2022-11-20,6.3957904040404046,Cottage Grove & Pershing (SB),41.8241,-87.60712,Stratified Random Sample
2049,2022-11-20,6.947017045454545,Clarendon & Montrose (SB),41.96199,-87.64999,Stratified Random Sample
2050,2022-11-20,7.409785353535354,Laramie & Lake (NB),41.8867,-87.7551,Community Selected
