msr_device_nbr,date_time,pm_25,device_friendly_name,latitude,longitude,misc_annotation
2004,11/3/2022,11.44748006,California & 26th (SB),41.8451,-87.6952,Community Selected
2005,11/3/2022,13.37440989,California & Cermak (SB),41.8524,-87.6952,Community Selected
2006,11/3/2022,12.24263158,California & Cermak (NB),41.8523,-87.6954,Community Selected
2010,11/3/2022,11.22974003,EPA Springfield Pump Station C,41.91274,-87.72267,EPA Co-Location
2012,11/3/2022,11.70960128,Chicago & Sacramento (EB),41.8954,-87.7022,Partner Request
2013,11/3/2022,10.3069059,EPA Village Garage B,41.67099,-87.73246,EPA Co-Location
2014,11/3/2022,10.14615231,EPA Village Garage C,41.67099,-87.73246,EPA Co-Location
2033,11/3/2022,11.64098057,Halsted & 74th St (SB),41.75951,-87.64438,Stratified Random Sample
2037,11/3/2022,14.97060606,39TH & HALSTED (WB),41.82372,-87.64635,Community Selected
2038,11/3/2022,11.49399123,ARCHER & THROOP (SB),41.84339,-87.65458,Community Selected
2040,11/3/2022,10.59139553,Madison & Wood (WB),41.88147,-87.67219,Stratified Random Sample
2042,11/3/2022,12.08099282,26th ST & Pulaski (WB),41.8442,-87.7248,Community Selected
2043,11/3/2022,14.40121611,Roosevelt & Homan (WB),41.86645,-87.71032,Stratified Random Sample
2046,11/3/2022,11.8751555,Northwest Highway & Devon (NWB),41.99753,-87.80755,Stratified Random Sample
2048,11/3/2022,8.590783094,Cottage Grove & Pershing (SB),41.8241,-87.60712,Stratified Random Sample
2049,11/3/2022,10.61995614,Clarendon & Montrose (SB),41.96199,-87.64999,Stratified Random Sample
2050,11/3/2022,11.29898325,Laramie & Lake (NB),41.8867,-87.7551,Community Selected
2052,11/3/2022,11.56031499,Western Ave & 43rd St (SB),41.81587,-87.68476,Stratified Random Sample
2053,11/3/2022,8.462958533,Cottage Grove & 83rd (SB),41.7438,-87.6052,Stratified Random Sample
2054,11/3/2022,12.49740032,Ashland & 43rd St (SB),41.81604,-87.66531,Community Selected
2055,11/3/2022,13.15892185,Harrison & Central (WB),41.87288,-87.76488,Community Selected
2056,11/3/2022,12.73273284,Fullerton & Pulaski (WB),41.92461,-87.72656,Stratified Random Sample
2060,11/3/2022,11.43747687,Kimball & Ardmore (SB),41.9861,-87.7139,Stratified Random Sample
2062,11/3/2022,10.28398325,Madison & Loomis (WB),41.88162,-87.66205,Stratified Random Sample
2063,11/3/2022,10.92999761,Belmont & Sheridan (WB),41.94,-87.6402,Stratified Random Sample
2066,11/3/2022,13.11375107,Chicago & Hudson (WB),41.89663,-87.63969,Stratified Random Sample
2067,11/3/2022,12.08704147,Sheridan & Touhy (SB),42.01305,-87.66344,Stratified Random Sample
2068,11/3/2022,12.28290271,63rd & Damen (WB),41.7793,-87.6741,Stratified Random Sample
2070,11/3/2022,11.98513557,Nargansett & Montrose (SB),41.9592,-87.7868,Stratified Random Sample
2072,11/3/2022,11.28236045,Commercial & 89th (SB),41.73387,-87.55145,Stratified Random Sample
2073,11/3/2022,11.18208931,Lake Shore & Briar (SB),41.93892,-87.63806,Stratified Random Sample
2074,11/3/2022,11.8153429,Archer & Lavergne/LeClair (NEB),41.79792,-87.74737,Stratified Random Sample
2076,11/3/2022,10.44563796,Cottage & 53rd (NB),41.7985,-87.6062,Stratified Random Sample
2081,11/3/2022,12.82954944,Western & 73rd (NB),41.7609,-87.6827,Stratified Random Sample
2082,11/3/2022,10.45604466,95th & Wentworth (WB),41.7218,-87.6287,Stratified Random Sample
2083,11/3/2022,11.80161882,63rd & Peoria (EB),41.7795,-87.6472,Stratified Random Sample
2084,11/3/2022,14.84355263,63rd & Pulaski (EB),41.7785,-87.7214,Stratified Random Sample
2087,11/3/2022,12.0944378,Pulaski & 71st (SB),41.76428,-87.72257,Stratified Random Sample
