msr_device_nbr,date_time,pm_25,device_friendly_name,latitude,longitude,misc_annotation
2004,2022-11-06,7.076357323232323,California & 26th (SB),41.8451,-87.6952,Community Selected
2010,2022-11-06,6.124715451617625,EPA Springfield Pump Station C,41.91274,-87.72267,EPA Co-Location
2012,2022-11-06,6.59668265993266,Chicago & Sacramento (EB),41.8954,-87.7022,Partner Request
2033,2022-11-06,7.40620406968233,Halsted & 74th St (SB),41.75951,-87.64438,Stratified Random Sample
2037,2022-11-06,6.182272727272728,39TH & HALSTED (WB),41.82372,-87.64635,Community Selected
2038,2022-11-06,6.863160225442834,ARCHER & THROOP (SB),41.84339,-87.65458,Community Selected
2040,2022-11-06,6.31933465085639,Madison & Wood (WB),41.88147,-87.67219,Stratified Random Sample
2042,2022-11-06,8.244004538134973,26th ST & Pulaski (WB),41.8442,-87.7248,Community Selected
2043,2022-11-06,8.097932952715562,Roosevelt & Homan (WB),41.86645,-87.71032,Stratified Random Sample
2046,2022-11-06,6.269627250768555,Northwest Highway & Devon (NWB),41.99753,-87.80755,Stratified Random Sample
2047,2022-11-06,7.283671314595228,Pulaski & 49th (SB),41.8049,-87.7236,Stratified Random Sample
2048,2022-11-06,5.999513431415605,Cottage Grove & Pershing (SB),41.8241,-87.60712,Stratified Random Sample
2049,2022-11-06,6.308237263943785,Clarendon & Montrose (SB),41.96199,-87.64999,Stratified Random Sample
2050,2022-11-06,7.169490740740741,Laramie & Lake (NB),41.8867,-87.7551,Community Selected
2052,2022-11-06,6.566905284731372,Western Ave & 43rd St (SB),41.81587,-87.68476,Stratified Random Sample
2053,2022-11-06,6.890314192651149,Cottage Grove & 83rd (SB),41.7438,-87.6052,Stratified Random Sample
2054,2022-11-06,7.258023349436393,Ashland & 43rd St (SB),41.81604,-87.66531,Community Selected
2055,2022-11-06,7.209719477382521,Harrison & Central (WB),41.87288,-87.76488,Community Selected
2056,2022-11-06,7.407222588200849,Fullerton & Pulaski (WB),41.92461,-87.72656,Stratified Random Sample
2060,2022-11-06,6.299991582491582,Kimball & Ardmore (SB),41.9861,-87.7139,Stratified Random Sample
2062,2022-11-06,6.631513687600644,Madison & Loomis (WB),41.88162,-87.66205,Stratified Random Sample
2063,2022-11-06,6.520192321768409,Belmont & Sheridan (WB),41.94,-87.6402,Stratified Random Sample
2066,2022-11-06,8.22762717757283,Chicago & Hudson (WB),41.89663,-87.63969,Stratified Random Sample
2068,2022-11-06,7.649976851851853,63rd & Damen (WB),41.7793,-87.6741,Stratified Random Sample
2070,2022-11-06,6.769083955496999,Nargansett & Montrose (SB),41.9592,-87.7868,Stratified Random Sample
2072,2022-11-06,6.700718050065876,Commercial & 89th (SB),41.73387,-87.55145,Stratified Random Sample
2073,2022-11-06,6.495711833395139,Lake Shore & Briar (SB),41.93892,-87.63806,Stratified Random Sample
2074,2022-11-06,6.793360781730347,Archer & Lavergne/LeClair (NEB),41.79792,-87.74737,Stratified Random Sample
2076,2022-11-06,6.352503110818328,Cottage & 53rd (NB),41.7985,-87.6062,Stratified Random Sample
2081,2022-11-06,6.985720062948324,Western & 73rd (NB),41.7609,-87.6827,Stratified Random Sample
2082,2022-11-06,6.62369440077793,95th & Wentworth (WB),41.7218,-87.6287,Stratified Random Sample
2083,2022-11-06,7.0366953959888745,63rd & Peoria (EB),41.7795,-87.6472,Stratified Random Sample
2084,2022-11-06,9.10337157809984,63rd & Pulaski (EB),41.7785,-87.7214,Stratified Random Sample
2090,2022-11-06,6.657310606060606,Archer & Mulligan/55th (NWB),41.7924,-87.7818,Stratified Random Sample
2091,2022-11-06,6.268594276094276,39th & Damen (WB),41.8231,-87.6753,Community Selected
2092,2022-11-06,6.776238187336014,61st & King (WB),41.7838,-87.6164,Stratified Random Sample
2094,2022-11-06,7.019696279968019,Ashland & 37th (SB),41.8267,-87.6655,Stratified Random Sample
2096,2022-11-06,6.90404511953425,100th & Torrence (WB),41.7136,-87.5602,Community Selected
2097,2022-11-06,6.218677550307985,Cottage Grove & 100th (NB),41.7132,-87.605,Stratified Random Sample
2098,2022-11-06,6.546269762845849,Irving & Clark (EB),41.95429,-87.66244,Partner Request
2099,2022-11-06,8.052294923357046,26th & Central Park (WB),41.84449,-87.71456,Stratified Random Sample
2100,2022-11-06,7.79106884057971,Ashland & Pershing (SB),41.82359,-87.66524,Community Selected
2101,2022-11-06,6.449167558432428,Laramie & Madison (SB),41.88009,-87.75495,Community Selected
2104,2022-11-06,6.598644781144781,State & 31st St (NB),41.83814,-87.62652,Stratified Random Sample
2105,2022-11-06,6.973964646464647,Cottage Grove & 60th (SB),41.78595,-87.60616,Stratified Random Sample
2106,2022-11-06,8.212048199385157,Addison & Kennedy XWay (EB),41.94641,-87.7179,Stratified Random Sample
2108,2022-11-06,6.58808574879227,Irving Park & Kildare (EB),41.9533,-87.7354,Stratified Random Sample
2111,2022-11-06,7.037823097647554,Kedzie & 24th (SB),41.8488,-87.7052,Community Selected
2112,2022-11-06,7.155860781730348,47th & Halsted (WB),41.8088,-87.6481,Partner Request
2113,2022-11-06,6.838264895330113,Division & Larrabee (EB),41.90363,-87.64344,Stratified Random Sample
2115,2022-11-06,6.265327916849656,Roosevelt & Western (WB),41.86674,-87.68576,Stratified Random Sample
2116,2022-11-06,6.935483445944609,Clark & 15th (NB),41.86177,-87.63014,Stratified Random Sample
2119,2022-11-06,7.01213548528766,King Drive & 25th St (SB),41.84723,-87.61782,Stratified Random Sample
2120,2022-11-06,6.197098063973064,Commercial & 85 (NB),41.7414,-87.5513,Stratified Random Sample
2124,2022-11-06,7.067699255003725,Halsted & 87th (SB),41.7359,-87.6437,community-selected
2127,2022-11-06,6.366238105694627,63rd & Lamon (EB),41.7782,-87.7438,Stratified Random Sample
2130,2022-11-06,6.16134105548236,115th & Stewart (EB),41.68518,-87.63263,Stratified Random Sample
2131,2022-11-06,7.22375860049773,Grand & Laramie (EB),41.9169,-87.756,Stratified Random Sample
2138,2022-11-06,6.725512919045528,Kedzie & Lake (NB),41.8838,-87.706,Stratified Random Sample
2139,2022-11-06,6.808438003220612,Garfield & Aberdeen (WB),41.79449,-87.65277,Stratified Random Sample
2143,2022-11-06,8.09546414141414,87th & Western (WB),41.73566,-87.68225,Stratified Random Sample
2149,2022-11-06,6.22237812911726,137th & Brainard (NB),41.6463,-87.54299,Community Selected
